,GameId,MinPlayers,MaxPlayers
0,174430,1,4
1,161936,2,4
2,224517,2,4
3,167791,1,5
4,291457,1,4
5,233078,3,6
6,220308,1,4
7,187645,2,4
8,182028,2,4
9,193738,2,4
10,162886,1,4
11,115746,2,4
12,12333,2,2
13,169786,1,5
14,84876,2,4
15,173346,2,2
16,120677,2,5
17,124361,2,5
18,28720,2,4
19,266192,1,5
20,167355,1,5
21,177736,1,4
22,205637,1,2
23,183394,1,6
24,164928,2,4
25,96848,1,4
26,237182,2,4
27,199792,1,4
28,3076,3,5
29,102794,1,7
30,175914,2,5
31,31260,1,5
32,170216,2,4
33,316554,1,4
34,205059,1,5
35,221107,2,4
36,276025,1,4
37,285774,1,4
38,180263,1,4
39,192135,1,4
40,284083,2,5
41,266507,2,4
42,247763,1,4
43,55690,1,4
44,126163,2,4
45,2651,2,6
46,185343,1,4
47,209010,2,4
48,251247,1,4
49,216132,1,4
50,164153,1,5
51,35677,1,5
52,312484,1,4
53,230802,2,4
54,184267,1,4
55,72125,2,6
56,25613,2,4
57,125153,1,4
58,256960,1,5
59,124742,2,2
60,191189,1,4
61,161533,1,4
62,121921,1,4
63,246900,2,6
64,244521,2,4
65,521,2,4
66,159675,1,2
67,171623,2,4
68,28143,2,4
69,266810,1,4
70,229853,1,4
71,201808,2,4
72,68448,2,7
73,157354,2,7
75,62219,2,6
76,110327,2,5
77,200680,1,4
78,122515,2,6
79,264220,1,4
80,236457,1,5
81,182874,2,4
82,18602,2,5
83,93,2,5
84,12493,3,6
85,37111,3,6
86,146021,1,8
87,73439,1,4
88,172386,2,4
89,40834,2,6
90,205896,3,5
91,269385,1,5
92,170042,2,4
93,163412,2,2
94,144733,2,4
95,42,2,4
96,203993,2,4
97,281259,1,4
98,178900,2,8
99,102680,2,4
100,132531,2,5
101,225694,3,8
102,36218,3,8
104,2511,1,8
105,30549,2,4
106,155821,2,4
107,198928,2,5
108,172287,2,4
109,196340,2,4
110,233371,2,4
111,127023,2,5
112,175155,2,4
113,266524,1,5
114,175640,1,4
115,263918,1,100
116,161970,2,4
117,146652,1,5
118,218417,1,4
119,103885,2,2
120,34635,2,4
121,233398,2,5
122,262712,2,4
123,147020,2,2
124,4098,1,6
125,163068,2,4
126,118048,2,2
127,104162,1,5
128,14996,2,5
129,148949,2,5
130,233867,1,100
131,314040,2,4
132,43111,3,4
133,150376,2,5
134,271324,1,5
135,274364,2,2
136,9609,2,4
137,43015,2,5
138,244522,1,4
139,77423,1,2
140,253344,1,5
141,287954,2,4
142,54043,2,4
144,17133,2,6
145,128882,5,10
146,221194,1,4
147,82222,3,5
148,103343,3,6
149,155426,1,4
150,10630,2,8
151,70149,1,4
152,220877,2,4
153,188920,1,6
154,217372,2,4
155,39463,3,5
156,14105,2,2
157,199561,1,4
158,463,2,2
159,254640,3,7
160,239188,1,4
161,223321,1,5
162,123260,1,4
163,195421,2,4
164,31627,2,3
165,25021,2,2
166,126042,1,5
167,21050,2,2
168,104006,2,2
170,146508,2,4
171,171131,2,8
172,91,2,2
173,283948,2,4
174,224037,2,2
175,282524,1,5
176,245638,2,4
177,182631,2,2
178,148228,2,4
179,188,2,2
180,146886,1,4
181,215,4,4
182,9209,2,5
183,194655,2,4
184,12,2,5
185,296151,1,4
186,822,2,5
187,109276,2,4
188,176189,1,6
189,129437,1,5
190,54998,2,5
191,189932,2,4
192,9216,2,4
193,256916,2,6
194,555,2,5
195,188834,2,5
197,7854,2,2
198,283155,1,4
199,155068,2,4
200,192291,2,8
201,169426,1,4
202,156129,4,12
203,128621,2,6
204,232832,2,5
205,242302,2,5
206,265188,2,4
207,31481,2,4
208,27833,3,5
209,421,2,7
210,20551,3,5
211,199478,2,4
212,176494,2,5
213,198994,2,4
214,158600,2,2
215,268864,2,2
216,19857,2,5
217,140620,1,5
218,27708,2,2
219,249259,2,4
220,228341,2,4
221,284378,1,4
222,127060,2,4
223,155873,2,6
224,209418,2,4
225,3,2,4
226,118,2,4
228,24181,2,6
229,108745,2,4
230,97207,2,4
231,92828,3,12
232,204583,2,4
233,154203,1,4
234,241451,1,4
235,22545,2,5
236,144344,2,5
237,181279,2,5
238,38453,1,5
239,308765,1,4
240,760,2,2
241,222509,1,4
242,269207,2,4
243,286096,1,5
244,176734,1,5
245,193037,2,5
246,66589,2,5
247,93260,2,4
248,203420,1,6
249,59294,2,4
250,19777,2,5
251,224783,2,5
252,232405,2,6
253,283355,2,6
254,48726,2,6
256,206718,2,6
257,54138,2,6
258,2655,2,2
259,146439,2,2
260,13122,2,4
261,172081,1,4
262,160477,2,2
263,271896,1,4
264,165722,2,2
265,234,2,2
266,139976,2,4
267,209685,2,5
268,187617,1,4
269,101721,2,2
270,271055,1,5
271,46213,4,8
272,40692,2,5
273,172818,2,4
274,45315,2,4
275,140934,2,4
276,317985,2,4
277,246784,3,5
278,136888,2,4
279,181304,2,7
280,77130,2,4
281,54,2,4
